sampling_measure,R,Theta_1,Theta_2,Phi,V_reference,V_candidate,absolute_disagreement,normalized_disagreement,gradient_disagreement_cm1_per_rad,reference_high_candidate_below_warning,reference_above_1000_candidate_below_1000,selection_reason
coordinate-uniform,6.5999999999999996,110.13167305212468,79.310206306613992,89.307404605597256,-82.624867815422874,-82.513659276516137,0.11120853890673743,0.11120853890673743,0.42495211873853606,False,False,largest absolute disagreement; largest normalized disagreement
coordinate-uniform,6.5999999999999996,73.509015282802281,92.133832784257834,87.730862926840786,-92.088261633910989,-91.973187923479017,0.11507371043197168,0.11507371043197168,0.9120293121118852,False,False,largest absolute disagreement; largest normalized disagreement
coordinate-uniform,6.5999999999999996,70.076130393929787,86.001541681140665,89.245778456591069,-84.301476875062406,-84.169634165095687,0.13184270996671899,0.13184270996671899,0.36447005254072296,False,False,largest absolute disagreement; largest normalized disagreement
coordinate-uniform,6.5999999999999996,17.233784601576627,84.405253421701488,50.373197168111801,614.81368101529279,614.80340915088061,0.010271864412175091,0.0016707280155529899,1.0218928513868912,False,False,largest gradient disagreement
coordinate-uniform,6.5999999999999996,66.694212960787127,101.610317386128,88.306322278529407,-74.265772894543261,-74.199048456951274,0.06672443759198643,0.06672443759198643,1.0414005650067659,False,False,largest gradient disagreement
coordinate-uniform,6.5999999999999996,65.296403526552027,99.056923173777747,91.237876334711899,-69.440343317381902,-69.396198469312964,0.044144848068938813,0.044144848068938813,1.0894353078401231,False,False,largest gradient disagreement
coordinate-uniform,6.5999999999999996,75.898255848214035,87.173710348047322,99.873353749103842,-97.634684820951236,-97.578547611158839,0.056137209792396447,0.056137209792396447,1.0948024029073913,False,False,largest gradient disagreement
coordinate-uniform,6.5999999999999996,115.17592570256443,94.476901795640586,90.12083460543306,-68.852254349687257,-68.811019373016421,0.041234976670835977,0.041234976670835977,1.1456543404736306,False,False,largest gradient disagreement
solid-angle,4.4000000000000004,88.902217037983405,125.07825373381029,39.309082560651007,1000.1652398646314,999.48739191504171,0.67784794958970451,0.067773596059132052,5.246460976651024,False,True,reference-above-1000 / candidate-below-1000
solid-angle,4.4000000000000004,107.1136434544412,135.40560622239832,9.7623293794691559,2129.038582654844,2109.4411664429526,19.597416211891414,0.92048196644017843,75.381999894686771,False,False,largest normalized disagreement
solid-angle,4.4000000000000004,107.04938212873145,59.847541353341889,175.643361033909,1757.0557693527205,1740.7812132011554,16.274556151565093,0.9262401589882634,53.981482618745858,False,False,largest normalized disagreement
solid-angle,4.4000000000000004,89.1950738625642,89.757417761022111,89.895494481213376,784.60874420783978,792.4200318829478,7.8112876751080194,0.99556469804507297,19.770166253698914,False,False,largest normalized disagreement
solid-angle,4.4000000000000004,104.80165283964854,127.13156667955674,12.120342879630625,1688.9750662420122,1671.8017642463747,17.17330199563753,1.01678836703305,100.71810210091476,False,False,largest normalized disagreement
solid-angle,4.4000000000000004,73.257353200130126,135.63910396562093,177.05585379727185,2090.8173477491077,2069.3827193459451,21.434628403162606,1.025179383853797,57.985743696683045,False,False,largest normalized disagreement
solid-angle,4.4000000000000004,169.105499978495,148.63449974499153,165.80493341468275,58535.326596304534,58575.991958432518,40.665362127983826,0.069471487548770458,535.10535993609051,False,False,largest absolute disagreement; largest gradient disagreement
solid-angle,4.4000000000000004,5.7907223565212895,166.04122746435431,110.57264237757772,66945.218874277067,66990.292237370319,45.073363093251828,0.067328726160264682,710.01059393121136,False,False,largest absolute disagreement; largest gradient disagreement
solid-angle,4.4000000000000004,173.89718945533289,19.856756799982016,64.314351724237213,66203.313042139533,66249.290774919224,45.977732779690996,0.069449292893280723,567.84438106204675,False,False,largest absolute disagreement; largest gradient disagreement
solid-angle,4.4000000000000004,173.04056119068093,158.89110417531168,139.19173355799168,65817.966537581364,65866.371943467806,48.405405886442168,0.07354436551728348,502.96178393324266,False,False,largest absolute disagreement
solid-angle,4.4000000000000004,173.40779409650636,32.124425245150867,35.050859059542418,62001.715942937124,62059.24147250122,57.52552956409636,0.092780544359513537,125.08585618342106,False,False,largest absolute disagreement
solid-angle,4.4000000000000004,164.66998215560903,78.096555916598177,1.9806966300308708,42225.854907776265,42231.621279517087,5.7663717408213415,0.013656021301203811,510.70061463345257,False,False,largest gradient disagreement
solid-angle,4.4000000000000004,171.4583019296509,166.32438806037123,76.648486550934606,63190.496236156912,63205.682303112269,15.186066955357092,0.024032200821154162,511.29919395813505,False,False,largest gradient disagreement
solid-angle,4.7999999999999998,88.332923693233667,99.724484038602697,141.0382477293536,96.411560173323636,95.781765982460513,0.62979419086312305,0.62979419086312305,1.6430850248462578,False,False,largest normalized disagreement
solid-angle,4.7999999999999998,91.319939977040605,99.563856746423397,40.232575543262058,97.701170270529104,97.048298351723091,0.6528719188060137,0.6528719188060137,1.1229914664456677,False,False,largest normalized disagreement
solid-angle,4.7999999999999998,89.721354861318943,92.102090880004411,50.894676610082385,110.84926003891081,110.11152987368628,0.73773016522453361,0.66552556594926493,2.5869980829150068,False,False,largest normalized disagreement
solid-angle,4.7999999999999998,90.811098372458005,91.931411047354203,130.65033150471746,106.51392102583907,105.79461880936202,0.71930221647704684,0.67531286948168234,4.9513122768961697,False,False,largest normalized disagreement
solid-angle,4.7999999999999998,88.386682654457118,83.478414411361328,44.432712185829878,102.42755587102016,101.72746648978348,0.70008938123667974,0.6834971070853757,3.7866056278874156,False,False,largest normalized disagreement
solid-angle,4.7999999999999998,160.21488620849405,41.188235912328317,5.1339747279882433,22195.008168814056,22188.72697846451,6.2811903495457955,0.028300013686732597,35.027789948843569,False,False,largest absolute disagreement
solid-angle,4.7999999999999998,159.24174077466208,137.4773949927266,173.03039163742216,21276.405587701029,21269.661445098562,6.7441426024670363,0.031697753526401723,17.045622734103748,False,False,largest absolute disagreement
solid-angle,4.7999999999999998,22.33987574303524,137.37743437504275,5.7810646007582545,19952.79830277268,19946.028438650086,6.7698641225942993,0.033929396868877013,22.520365648949099,False,False,largest absolute disagreement
solid-angle,4.7999999999999998,173.89718945533289,19.856756799982016,64.314351724237213,33236.618318276138,33243.679284796577,7.0609665204392513,0.021244539540163053,91.015239564395586,False,False,largest absolute disagreement; largest gradient disagreement
solid-angle,4.7999999999999998,5.7907223565212895,166.04122746435431,110.57264237757772,33531.80080585336,33540.166221037194,8.365415183834557,0.024947706305037686,108.83590512817281,False,False,largest absolute disagreement; largest gradient disagreement
solid-angle,4.7999999999999998,173.04056119068093,158.89110417531168,139.19173355799168,32965.650712000184,32971.317354728664,5.6666427284799283,0.01718953700621827,88.260728274415925,False,False,largest gradient disagreement
solid-angle,4.7999999999999998,164.66998215560903,78.096555916598177,1.9806966300308708,22564.314711279792,22564.548567657021,0.23385637722822139,0.0010363992003325398,90.166389915975302,False,False,largest gradient disagreement
