design_position,orientation_id,Theta_1,Theta_2,Phi,leverage
319,238,90.510000000000005,160.25,70.430000000000007,0.19925905200556704
320,389,144.71000000000001,79.890000000000001,128.75,0.32092777859213062
321,86,33.939999999999998,153.31,67.230000000000004,0.24447827763311319
322,65,25.66,144.5,27.27,0.25781391896602635
323,237,89.540000000000006,45.939999999999998,115.03,0.27432538667067691
324,448,163.25,78.390000000000001,44.990000000000002,0.31005847154976268
325,166,60.829999999999998,52.329999999999998,58.399999999999999,0.2943434176705782
326,141,55.009999999999998,35.020000000000003,170.05000000000001,0.30083602531896525
327,199,73.370000000000005,12.94,25.440000000000001,0.26727976901798389
328,393,146.19,142.13999999999999,72.219999999999999,0.23757061916910679
329,259,95.459999999999994,130.84999999999999,155.05000000000001,0.30260187244728665
330,208,76.829999999999998,45.960000000000001,85.489999999999995,0.29179744745280023
331,61,25,80.25,44.210000000000001,0.31237337407997612
332,171,63.030000000000001,162.05000000000001,135.84,0.24505661926792732
333,109,41.920000000000002,78.969999999999999,12.109999999999999,0.31007736408832753
334,255,94.790000000000006,12.57,33.460000000000001,0.18758671917024616
335,316,113.16,33.049999999999997,161.68000000000001,0.30537307792506146
336,4,1.3899999999999999,16.010000000000002,83.530000000000001,0.14524943529445816
337,262,96.140000000000001,121.70999999999999,65.689999999999998,0.25865571514954366
338,377,138.78999999999999,25.760000000000002,125.95999999999999,0.21660528725818085
339,291,103.28,111.48999999999999,123.48999999999999,0.30203409611826249
340,223,84.340000000000003,95.129999999999995,38.390000000000001,0.30860973346083703
341,9,3.2599999999999998,122.66,42.840000000000003,0.17194660931487782
342,239,90.799999999999997,145.53999999999999,137.94,0.21422684479317111
343,369,136.66999999999999,34.810000000000002,173.84999999999999,0.2398727153975625
344,344,127.72,142.47999999999999,10.66,0.26955431560891874
345,332,124.13,37.670000000000002,78.129999999999995,0.21346725987629483
346,55,21.57,106.22,94.840000000000003,0.30207048207198051
347,121,47.710000000000001,16.690000000000001,150.56999999999999,0.28505330389197248
348,71,28.210000000000001,0.96999999999999997,37.530000000000001,0.14255190678425228
349,415,153.31999999999999,140.50999999999999,77.530000000000001,0.22237242592839226
