training_points,removed_position,removed_orientation,removed_leverage,replacement_orientation,replacement_leverage,retained_rank,condition_number,worst_normalized_error,tolerance_headroom,tolerance_safety_factor,limiting_R,minimum_guardrail_prediction,any_guardrail_below_warning,strict_pass
161,124,227,0.34186442658344229,294,0.14745033504606417,158,78.74743162876635,3.8261160120383089,-2.8261160120383089,0.2613616515687574,4.4000000000000004,5000.6376597224771,False,False
161,125,125,0.26717592961364345,294,0.14745033504606417,158,102.2858033791954,0.54676671629600548,0.45323328370399452,1.8289335656244037,4.4000000000000004,5000.7706274541733,False,True
161,126,22,0.21790599982141526,294,0.14745033504606417,158,61.853906210052244,0.67237004808966405,0.32762995191033595,1.487276244444852,4.4000000000000004,5000.7080765277951,False,True
161,127,473,0.24096028121890961,294,0.14745033504606417,158,49.918564567271915,0.46842121989378083,0.53157878010621917,2.1348306983760468,4.4000000000000004,5000.4430563857159,False,True
161,128,329,0.28391352593739433,294,0.14745033504606417,158,175.80046805903004,1.3363371775565216,-0.33633717755652159,0.74831413567980609,4.4000000000000004,5000.8733535720212,False,False
161,129,111,0.26141952101630028,294,0.14745033504606417,158,64.961569886478799,0.40862988019171426,0.59137011980828569,2.4472023424494469,4.4000000000000004,5000.7103017642912,False,True
161,130,242,0.29429640844173743,294,0.14745033504606417,158,165.29201961193178,6.7473189782037082,-5.7473189782037082,0.14820701425712396,4.4000000000000004,5000.6253307103789,False,False
161,131,134,0.29989000701587021,294,0.14745033504606417,158,59.331209571723093,0.48521976901038227,0.51478023098961767,2.0609218005266454,4.4000000000000004,5000.6567905183847,False,True
161,132,407,0.33743525983947026,294,0.14745033504606417,158,47.356709555956073,0.48957945177887086,0.51042054822112914,2.0425693855543421,4.4000000000000004,5000.5488760363005,False,True
161,133,157,0.20896432837558349,294,0.14745033504606417,158,60.346005403490018,0.48437371476693497,0.51562628523306508,2.0645216070016676,4.4000000000000004,5000.695818393523,False,True
161,134,399,0.28962528728641251,294,0.14745033504606417,158,52.024865752197279,0.48627727961398964,0.51372272038601041,2.056439899461902,4.4000000000000004,5000.7045709881613,False,True
161,135,56,0.25476198381539372,294,0.14745033504606417,158,51.048046478944478,0.47306176887572693,0.52693823112427307,2.1138888529854953,4.4000000000000004,5000.2165859107945,False,True
161,136,31,0.25030189577384809,294,0.14745033504606417,158,53.24978785237824,0.5640075982013607,0.4359924017986393,1.7730257592079146,4.4000000000000004,5000.6503859965251,False,True
161,137,486,0.17101366603235063,294,0.14745033504606417,158,34.191366309911857,0.44189579863877271,0.55810420136122729,2.2629769350159608,4.4000000000000004,5000.5471217246895,False,True
161,138,312,0.24101281401715455,294,0.14745033504606417,158,56.05569849188857,0.4885853310307261,0.5114146689692739,2.0467253854928202,4.4000000000000004,5000.6987135619092,False,True
161,139,465,0.38642638971413462,294,0.14745033504606417,158,53.079702604372812,0.4899318237433597,0.51006817625664036,2.041100315467216,4.4000000000000004,5000.6665542482551,False,True
